"2020-05-07",9565.40072266376
"2020-05-08",9611.53887180042
"2020-05-09",9657.67702093709
"2020-05-10",9716.52586810515
"2020-05-11",9775.37471527322
"2020-05-12",9832.56465900735
"2020-05-13",9889.75460274147
"2020-05-14",10253.8514245947
"2020-05-15",10617.9482464478
"2020-05-16",11024.6639554417
"2020-05-17",11431.3796644355
"2020-05-18",11815.424124335
"2020-05-19",12199.4685842344
"2020-05-20",12563.3152613958
"2020-05-21",12927.1619385572
"2020-05-22",12919.4378712498
"2020-05-23",12911.7138039423
"2020-05-24",12806.6499902737
"2020-05-25",12701.5861766051
"2020-05-26",12727.3786956187
"2020-05-27",12753.1712146322
"2020-05-28",13009.2664643403
"2020-05-29",13265.3617140485
"2020-05-30",13587.4967553225
"2020-05-31",13909.6317965964
"2020-06-01",14026.3252810612
"2020-06-02",14143.018765526
"2020-06-03",14266.2774481593
"2020-06-04",14389.5361307927
"2020-06-05",14409.2559764732
"2020-06-06",14428.9758221538
"2020-06-07",14571.2113165921
"2020-06-08",14713.4468110304
"2020-06-09",14763.5206737592
"2020-06-10",14813.5945364881
"2020-06-11",14555.1701331342
"2020-06-12",14296.7457297804
"2020-06-13",14133.4133803034
"2020-06-14",13970.0810308265
"2020-06-15",13784.6750792684
"2020-06-16",13599.2691277104
"2020-06-17",13361.1138652602
"2020-06-18",13122.9586028101
"2020-06-19",12915.4493646424
"2020-06-20",12707.9401264748
"2020-06-21",12636.4047872711
"2020-06-22",12564.8694480674
"2020-06-23",12587.9974837132
"2020-06-24",12611.1255193591
"2020-06-25",12808.7230251045
"2020-06-26",13006.32053085
"2020-06-27",13122.7118577513
"2020-06-28",13239.1031846526
"2020-06-29",13208.7027695847
"2020-06-30",13178.3023545168
"2020-07-01",13137.5632677802
"2020-07-02",13096.8241810436
"2020-07-03",13039.6912957497
"2020-07-04",12982.5584104559
"2020-07-05",12871.4141345218
"2020-07-06",12760.2698585877
"2020-07-07",12779.0492613208
"2020-07-08",12797.8286640539
"2020-07-09",12857.4357620279
"2020-07-10",12917.0428600019
"2020-07-11",13038.2753129624
"2020-07-12",13159.5077659228
"2020-07-13",13315.8213820455
"2020-07-14",13472.1349981682
"2020-07-15",13463.8536862517
"2020-07-16",13455.5723743353
"2020-07-17",13364.1285402276
"2020-07-18",13272.6847061199
"2020-07-19",13204.408208844
"2020-07-20",13136.1317115681
"2020-07-21",13198.8729191562
"2020-07-22",13261.6141267443
"2020-07-23",13231.8248932376
"2020-07-24",13202.0356597309
"2020-07-25",13084.8778308028
"2020-07-26",12967.7200018746
"2020-07-27",12831.5725308656
"2020-07-28",12695.4250598566
"2020-07-29",12793.9080344693
"2020-07-30",12892.3910090821
"2020-07-31",13251.7609600971
"2020-08-01",13611.1309111122
"2020-08-02",13813.5508902703
"2020-08-03",14015.9708694284
"2020-08-04",14022.1260384748
"2020-08-05",14028.2812075212
"2020-08-06",13819.4149085741
"2020-08-07",13610.5486096271
"2020-08-08",13490.6167047762
"2020-08-09",13370.6847999253
"2020-08-10",13157.4957878782
"2020-08-11",12944.306775831
"2020-08-12",12609.6940019439
"2020-08-13",12275.0812280567
"2020-08-14",12310.032119793
"2020-08-15",12344.9830115293
"2020-08-16",12460.9101440526
"2020-08-17",12576.837276576
"2020-08-18",12897.113659307
"2020-08-19",13217.390042038
"2020-08-20",13386.4523957318
"2020-08-21",13555.5147494256
"2020-08-22",13572.8490412388
"2020-08-23",13590.1833330519
"2020-08-24",13896.9404498117
"2020-08-25",14203.6975665715
"2020-08-26",14748.530370156
"2020-08-27",15293.3631737405
"2020-08-28",15732.2337761717
"2020-08-29",16171.1043786029
"2020-08-30",16387.4994435661
"2020-08-31",16603.8945085293
"2020-09-01",16519.5413391093
"2020-09-02",16435.1881696894
"2020-09-03",16328.22501094
"2020-09-04",16221.2618521906
"2020-09-05",16261.7426413581
"2020-09-06",16302.2234305255
"2020-09-07",16368.4304907913
"2020-09-08",16434.637551057
"2020-09-09",16368.8777450086
"2020-09-10",16303.1179389602
"2020-09-11",16086.8554808037
"2020-09-12",15870.5930226471
"2020-09-13",15608.5165919915
"2020-09-14",15346.4401613359
"2020-09-15",15269.2465978198
"2020-09-16",15192.0530343036
"2020-09-17",15288.5110162468
"2020-09-18",15384.9689981901
"2020-09-19",15392.6787557931
"2020-09-20",15400.3885133962
"2020-09-21",15368.6762336214
"2020-09-22",15336.9639538466
"2020-09-23",15211.0589336174
"2020-09-24",15085.1539133882
"2020-09-25",14981.6008525214
"2020-09-26",14878.0477916546
"2020-09-27",14844.1794704614
"2020-09-28",14810.3111492682
"2020-09-29",14872.6494021255
"2020-09-30",14934.9876549827
"2020-10-01",14940.4331540388
"2020-10-02",14945.8786530949
"2020-10-03",14874.0449319807
"2020-10-04",14802.2112108666
"2020-10-05",14738.7159016592
"2020-10-06",14675.2205924517
"2020-10-07",14600.4792781805
"2020-10-08",14525.7379639093
"2020-10-09",14481.3828637642
"2020-10-10",14437.0277636191
"2020-10-11",14390.0303686597
"2020-10-12",14343.0329737004
"2020-10-13",14469.7547474573
"2020-10-14",14596.4765212143
"2020-10-15",14634.811800891
"2020-10-16",14673.1470805678
"2020-10-17",14556.4298738899
"2020-10-18",14439.712667212
"2020-10-19",14151.9627998845
"2020-10-20",13864.212932557
"2020-10-21",13203.9894859877
"2020-10-22",12543.7660394183
"2020-10-23",12266.7847916225
"2020-10-24",11989.8035438268
"2020-10-25",11946.1193880611
"2020-10-26",11902.4352322954
"2020-10-27",12007.3218691919
"2020-10-28",12112.2085060884
