"","date","h.1","h.2","h.3","h.4","h.5","h.6","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19","h.20","h.21","h.22","h.23","h.24","h.25","h.26","h.27","h.28","h.29","h.30","h.31","h.32","h.33","h.34","h.35","h.36","h.37","h.38","h.39","h.40","h.41","h.42","h.43","h.44","h.45","h.46","h.47","h.48","h.49","h.50","h.51","h.52","h.53","h.54","h.55","h.56"
"405",2021-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",2021-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",2021-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",2021-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",2021-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",2021-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",2021-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",2021-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",2021-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",2021-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",2021-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",2021-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",2021-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",2021-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",2021-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",2021-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",2021-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",2021-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",2021-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",2021-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",2021-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",2021-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",2021-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",2021-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",2021-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",2021-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",2021-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",2021-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",2021-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",2021-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",2021-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",2021-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",2021-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",2021-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",2021-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",2021-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",2021-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",2021-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",2021-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",2021-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450",2021-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",2021-07-31,11.6157978883386,-5.14770744933363,-6.21177639697037,5.48277094736235,5.10393554112879,-26.858751064429,-31.73626537383,-17.3697868022915,-7.36224880281456,-10.1923642089277,-36.2813539493297,-10.4114432338705,-17.5641461704713,-31.7896917668201,-Inf,1.55723042333333,0.68376088800659,-5.58928519174371,5.33781348146051,-20.8878098620416,-25.40854252501,-27.1137752389513,-11.4679586949133,-7.56742873666618,-18.2253340661691,-15.4462398316432,0.396173518899486,-2.16930454739925,-9.88068006877498,-12.8718415456807,8.69949912497952,0.389047995364118,15.7337250300827,-2.46646213736631,-9.64912877519978,0.770162319376523,-23.2557966750483,-7.27281359120365,-12.6414692591852,-1.61076747682758,-4.59131292653729,-11.9145919463908,-7.23586566124221,-3.24598843865808,-37.748718879435,-39.6836486065016,1.93071750346909,-1.37897040195422,-0.477040071931581,5.9483347259011,-44.8541895179502,-25.755303221583,-46.2510673645735,-7.61431553003428,-6.85214388235379,6.88015514917845
"452",2021-08-01,-11.0136497523171,-9.87106099639337,4.21585097795116,4.37138142110707,-29.142907487353,-36.3958176138714,-25.1604536141161,-13.3830413543118,-14.030258077308,-38.1695918324994,-11.3173644349061,-19.7314447211069,-36.4983080012899,-Inf,-3.9919933987414,-2.81249808881845,-7.09960014335933,4.51552287144227,-23.1679806057269,-29.9338965986352,-35.6197805041149,-17.7837458799318,-11.3941991046285,-19.9690276525613,-16.5042463154415,-1.52479617691365,-5.89237889604552,-17.2631096152647,-19.2998305311378,5.41762548766064,-1.12415945089182,14.9215002030825,-4.48584792393887,-13.683595301636,-5.92339667382445,-30.3107210785546,-11.1683432258036,-14.4021195075785,-2.63800595795635,-6.69641602490924,-16.0719044525911,-14.4983255390341,-9.18531878557177,-42.8014453756926,-41.9279658601585,0.893454432850478,-3.46166543481044,-4.24481241800237,-0.446527551463459,-53.2286873488198,-30.4139654400826,-48.6643506217943,-8.80245882185276,-9.0915493994665,3.3556334453359,-3.54666324093099
"453",2021-08-02,-5.46824960599495,6.68610346793334,5.47301754048045,-28.4677521800831,-34.5781515163532,-21.7295750135532,-7.49384982032532,-9.33960154466389,-34.4511966921676,-9.89813996744308,-18.961417280221,-34.5325485538759,-Inf,1.51338361978132,1.52506110063825,-4.09819641041509,5.84916924472463,-22.2289040821969,-27.923927943923,-31.6238404571713,-11.4314036591389,-6.5781567356273,-16.4745966311177,-14.7364569263967,-0.630627885946671,-4.14197939523311,-13.6888694032862,-12.7483117980163,9.60488098373122,1.93202501402898,16.3141469762128,-3.44301707886071,-11.684589753773,-2.58784234498957,-23.0272566649509,-6.13247317788463,-10.8204660351737,-0.836352273309905,-5.50737223827154,-13.9093513163313,-10.7778619433982,-2.97678583925349,-36.1868929555625,-37.3317133917425,2.74946074228547,-2.18925911678694,-2.19413583848251,2.91749719695308,-44.3683256528068,-24.241152478879,-43.6911187815542,-6.6382775405302,-7.6250030410478,5.35673416872021,0.0237966032544632,-24.0807220980991
"454",2021-08-03,8.52824305469368,6.620366707469,-27.9507497244605,-34.3477489370904,-21.0021952045257,-5.95027861508648,-6.51903896911023,-31.8946024592705,-8.64358406116589,-18.5607209604195,-34.3823226434413,-Inf,2.85625707473893,3.99041570544301,-2.19378612504145,6.85651377828321,-21.8968545824794,-27.8568559605673,-30.998824811623,-9.99211930172509,-3.99037366429063,-14.427067188041,-13.5904016457281,-0.422394567674736,-4.14875252390518,-13.2181884172732,-11.3724189034158,11.7320598734685,3.58637410093348,17.091042993338,-3.2954873688519,-11.7573465583497,-2.22520188867173,-21.612977030266,-3.71377627793163,-9.02906293765117,0.0292091380074086,-5.4243100447141,-14.0500265187955,-10.4529527398667,-1.865303581595,-33.1836039370478,-35.2077977520545,3.5167190349141,-2.17368384807011,-2.37968633612454,3.14410544435067,-42.9106824767175,-21.5921130601343,-41.5686090938599,-5.87043867475671,-7.67649430568231,5.13019848721079,0.197603015972694,-22.9137337367765,-30.5120986628392
"455",2021-08-04,3.08173944792078,-30.5471458225441,-35.38777354762,-21.7225769457827,-7.23526389060669,-9.27418636193925,-38.1629778680825,-12.7783704190796,-20.9939936472872,-35.4572842024561,-Inf,1.65187512363314,1.48662678932977,-7.06372993728406,3.29646028573768,-24.426643930158,-28.9124371469983,-31.8483784316176,-11.3852551258845,-6.72435488127772,-19.8946950855132,-17.9504333923626,-2.52950359003348,-5.0352001635367,-13.9822865716928,-12.8126604944036,9.39279342011875,-1.03295119542752,13.8952207944414,-5.48641226953808,-12.7369559499863,-2.94192200703047,-23.2177732316734,-6.48418450630376,-14.2668949921458,-3.84048643805764,-7.6842875399953,-15.0785765601134,-11.2561769668442,-3.23623958849375,-36.7690749792699,-41.7207724056961,-0.233596734785407,-4.38703009053362,-3.32875710110331,2.41462144644342,-44.8712712691081,-24.8908499421653,-48.4063424708422,-10.0027436945129,-10.0332256847974,4.22697945903062,-0.579843790223467,-24.6318149824957,-34.0798917001017,-42.1624152425799
"456",2021-08-05,-31.5594412543031,-36.052712749499,-22.1475736142763,-7.10582492186342,-9.48566447253528,-39.2815975994651,-14.5169521206007,-21.8526359907928,-36.042179955498,-Inf,1.83476446452991,1.36137388145459,-7.85870720664597,1.87581457542446,-25.2284872114156,-29.3930702733036,-32.15132170266,-11.1060914290932,-6.78983558561507,-20.7051759662122,-19.5984837277683,-3.12390263929716,-5.36528377334846,-14.1768282039235,-12.4576142216841,9.39627967177212,-1.64927849390824,12.7534057111557,-6.03025642402916,-13.0256256370814,-3.057196467092,-22.7516981697971,-6.41126657875889,-14.8892057055914,-5.14427462382127,-8.17090370252333,-15.3066831238489,-11.3158861750099,-2.78072553026006,-36.5877907363776,-42.4006622191234,-1.42206789498916,-4.7928069420148,-3.47418187332766,2.41878406610456,-44.1415855870923,-24.6459767670642,-49.0228181577626,-11.2308824868116,-10.3919826555461,4.14689892143426,-0.517656958358863,-23.92690133907,-33.7325500692215,-42.6622227778489,-39.2654436606123
"457",2021-08-06,-23.6916142465881,-15.0144327725336,-4.42589249670746,-8.0659055717218,-34.3282732218662,-6.07288676739365,-6.32324327337375,-23.6798123058278,-Inf,4.31300637171238,2.66760472716846,-4.00346470167899,9.11309209846006,-9.28915303693763,-17.6326140852717,-24.4048143919589,-8.27637209221503,-5.34649632175253,-16.3690897338474,-10.7747673949361,9.98560450402345,4.21332712855673,-7.47129385862855,-9.56853278889796,10.6454242817802,2.02045296217421,19.1922840535562,7.43234907208846,-2.74829303979916,3.00675694412747,-19.5710814475253,-4.91552434102602,-10.7209919298275,2.61805779013212,5.54720275965965,-4.81939903702126,-4.75355897349787,-0.0950260592135577,-34.6313412685373,-37.2089967507503,6.0681210301414,8.48149002952884,5.93933872662382,8.182349240264,-40.3436519099545,-22.8274574700882,-43.5632926283409,-3.01322444885859,3.57574318457721,12.8694622569271,5.43063949316093,-20.634688910813,-31.7461605718128,-37.4104927739735,-28.9725632151912,7.02522511235888
"458",2021-08-07,-5.75141462450095,1.44037450736397,-5.75398013650153,-32.79640142931,-2.63465272867568,0.432692233418557,-10.8642689121495,-Inf,9.7500874456544,4.82759979893706,-2.73159043222398,12.1280259532007,-2.27848015212566,-5.39174736070123,-14.2555900854353,-2.05455560929747,-2.92521509205628,-14.8507017908112,-7.01673971537114,15.8141007849451,14.2230739279171,1.35223967167309,-3.2027136674747,12.7693719245001,3.37851915702956,21.9940276976554,13.4816357323893,8.0340660437114,11.0201767331651,-12.5485002975151,-2.33987065296066,-9.09701372383933,6.0666309065492,11.775945592201,6.22621380438976,3.95495620890591,5.84659863819599,-31.2219627105598,-35.0866583612241,9.46361179729345,14.5709279995469,15.8923195772752,15.8625676497304,-31.9252402242767,-19.6226347228324,-41.2285668243637,0.785757327632339,10.0483762332004,22.1271119323589,13.3893671341269,-13.3236463542487,-28.2081592624389,-35.0674074802014,-24.122755665671,13.3207446120242,15.8636370243087
"459",2021-08-08,3.90832259801802,-4.07445439392505,-31.8650673256975,-2.17274977403602,1.28966730482932,-9.09828410453162,-Inf,12.0295768057359,6.36293969709882,-1.98250419072139,12.5499471843977,-1.36935351855207,-3.68782037232753,-10.8754161484744,0.545148944385111,-1.23915855147798,-13.981478280072,-6.47091829167241,16.5859573388015,15.6302137294251,4.28983664481112,-0.551577410902489,14.219930656793,4.13633142861302,22.4150164844334,14.2989098686575,9.56442806355679,13.6871028672627,-9.63322259770604,-0.61287274260132,-8.2115655424181,6.60122589564799,12.6336681322544,7.80866932116876,6.85217021826509,8.30541930095188,-28.9754752626419,-33.9536224155791,10.0053261003021,15.4248808722149,17.3313010617602,18.4167585544563,-28.4521023645028,-17.545636238637,-40.0059374657937,1.40817180623917,10.9720121732048,23.4775227823274,16.0352261401941,-10.316379949451,-25.9510980538677,-33.8619240748021,-23.3083354768803,14.2342066471453,17.3421251114757,20.7735073678549
"460",2021-08-09,-5.82923669894595,-33.2620604902288,-2.64151515850849,1.0426233469578,-9.65505514489117,-Inf,10.1128783105735,4.76368791971244,-3.08683476186591,12.1255367163758,-1.6504680926338,-4.24206824405128,-12.0522293193597,-1.64201848841906,-2.9902397362953,-15.2423203660533,-7.01567960353648,16.3322342307874,15.158923049057,3.252303741369,-2.78322534904261,12.7177054624603,3.05367601328234,21.997759917323,14.0153735670198,9.03760522479059,12.7319843629891,-12.0885148069251,-2.39647752007498,-9.45862830628008,6.07466179401423,12.3214810505637,7.24966552267382,5.80052485498954,6.23349455731449,-31.2894432461117,-35.5280661575872,9.4747353212496,15.1004168378209,16.8104546957858,17.4774676330583,-31.3802128994047,-19.679533816394,-41.6834550325408,0.801626791027589,10.6071990711482,22.9773658486627,15.0498634224667,-12.8529702264753,-28.2642303114517,-35.4961988792725,-24.0983322889531,13.8604952947826,16.7824852842325,19.8262335653426,-33.4921474400182
"461",2021-08-10,-30.4169255142622,-0.657942099308212,1.41486534141151,-8.8958070117455,-Inf,11.4556698382065,7.01657819485657,-0.836711060794852,13.8681513443782,-1.21046870349578,-3.46707402333336,-10.1743595526081,-0.0702545581982963,-0.504724410021313,-12.6721905195282,-4.83978142180277,16.7414580647726,15.8327317307707,4.91979351054043,-1.14025107233448,14.8655513409068,5.26148190621824,23.6226003974484,14.4839242659183,9.80590656184001,14.2774354673013,-10.2388191623832,0.171569700020702,-6.91458106965258,8.07764930943046,12.8478307153118,8.07956503626422,7.51310289826231,7.82898282068707,-27.9352868679337,-32.3149910795055,11.4496764946332,15.6567599064963,17.5962621431521,19.0164095680873,-29.0777398116487,-16.566292683698,-38.2588622135248,3.01416720909925,11.2417670594471,23.7430757109031,16.6736456615807,-10.8180812904602,-24.8683652134274,-32.1588091004521,-21.2703061330917,14.5186298610079,17.6507635891902,21.3958543077456,-31.0180301426759,-18.0665170336717
