,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
3193,R005,Voghera,Lombardia,Pavia,2018-02-01,19245.0,395039.7,20.526874512860484,Thursday,2,2018,Winter,False,False,39354,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3194,R005,Voghera,Lombardia,Pavia,2018-02-02,,,,Friday,2,2018,Winter,False,False,39354,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3195,R005,Voghera,Lombardia,Pavia,2018-02-03,,,,Saturday,2,2018,Winter,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196,R005,Voghera,Lombardia,Pavia,2018-02-04,,,,Sunday,2,2018,Winter,True,True,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3197,R005,Voghera,Lombardia,Pavia,2018-02-05,,,,Monday,2,2018,Winter,False,False,39354,8.4,True,,,,,,,,,,,,,,1573.42,1447.59,670.96,1225.59,817.34,407.55,1.57342,1.44759,0.67096,1.22559,0.8173400000000001,0.40755
3198,R005,Voghera,Lombardia,Pavia,2018-02-06,,,,Tuesday,2,2018,Winter,False,False,39354,10.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3199,R005,Voghera,Lombardia,Pavia,2018-02-07,,,,Wednesday,2,2018,Winter,False,False,39354,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3200,R005,Voghera,Lombardia,Pavia,2018-02-08,,,,Thursday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201,R005,Voghera,Lombardia,Pavia,2018-02-09,,,,Friday,2,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3202,R005,Voghera,Lombardia,Pavia,2018-02-10,,,,Saturday,2,2018,Winter,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,R005,Voghera,Lombardia,Pavia,2018-02-11,,,,Sunday,2,2018,Winter,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3204,R005,Voghera,Lombardia,Pavia,2018-02-12,,,,Monday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,1569.91,1443.29,662.48,1205.68,803.59,390.54,1.5699100000000001,1.44329,0.6624800000000001,1.20568,0.80359,0.39054
3205,R005,Voghera,Lombardia,Pavia,2018-02-13,,,,Tuesday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206,R005,Voghera,Lombardia,Pavia,2018-02-14,,,,Wednesday,2,2018,Winter,False,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3207,R005,Voghera,Lombardia,Pavia,2018-02-15,,,,Thursday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,R005,Voghera,Lombardia,Pavia,2018-02-16,,,,Friday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,R005,Voghera,Lombardia,Pavia,2018-02-17,,,,Saturday,2,2018,Winter,True,False,39354,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3210,R005,Voghera,Lombardia,Pavia,2018-02-18,,,,Sunday,2,2018,Winter,True,True,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3211,R005,Voghera,Lombardia,Pavia,2018-02-19,,,,Monday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,1553.48,1424.46,656.53,1185.89,800.19,384.19,1.55348,1.42446,0.65653,1.18589,0.8001900000000001,0.38419
3212,R005,Voghera,Lombardia,Pavia,2018-02-20,,,,Tuesday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,R005,Voghera,Lombardia,Pavia,2018-02-21,,,,Wednesday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,R005,Voghera,Lombardia,Pavia,2018-02-22,,,,Thursday,2,2018,Winter,False,False,39354,4.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3215,R005,Voghera,Lombardia,Pavia,2018-02-23,,,,Friday,2,2018,Winter,False,False,39354,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3216,R005,Voghera,Lombardia,Pavia,2018-02-24,,,,Saturday,2,2018,Winter,True,False,39354,1.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3217,R005,Voghera,Lombardia,Pavia,2018-02-25,,,,Sunday,2,2018,Winter,True,True,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3218,R005,Voghera,Lombardia,Pavia,2018-02-26,,,,Monday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,1546.71,1418.68,657.78,1201.08,804.41,393.55,1.54671,1.4186800000000002,0.6577799999999999,1.20108,0.80441,0.39355
3219,R005,Voghera,Lombardia,Pavia,2018-02-27,,,,Tuesday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,R005,Voghera,Lombardia,Pavia,2018-02-28,,,,Wednesday,2,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3221,R005,Voghera,Lombardia,Pavia,2018-03-01,22739.0,439546.5,19.330071683011568,Thursday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3222,R005,Voghera,Lombardia,Pavia,2018-03-02,,,,Friday,3,2018,Winter,False,False,39354,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3223,R005,Voghera,Lombardia,Pavia,2018-03-03,,,,Saturday,3,2018,Winter,True,False,39354,7.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3224,R005,Voghera,Lombardia,Pavia,2018-03-04,,,,Sunday,3,2018,Winter,True,True,39354,11.8,True,,,,,,,,,,,,,,,,,,,,,,,,,
3225,R005,Voghera,Lombardia,Pavia,2018-03-05,,,,Monday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,1548.87,1424.66,657.25,1201.7,804.51,382.72,1.54887,1.42466,0.65725,1.2017,0.80451,0.38272
3226,R005,Voghera,Lombardia,Pavia,2018-03-06,,,,Tuesday,3,2018,Winter,False,False,39354,3.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3227,R005,Voghera,Lombardia,Pavia,2018-03-07,,,,Wednesday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,R005,Voghera,Lombardia,Pavia,2018-03-08,,,,Thursday,3,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3229,R005,Voghera,Lombardia,Pavia,2018-03-09,,,,Friday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230,R005,Voghera,Lombardia,Pavia,2018-03-10,,,,Saturday,3,2018,Winter,True,False,39354,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3231,R005,Voghera,Lombardia,Pavia,2018-03-11,,,,Sunday,3,2018,Winter,True,True,39354,13.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3232,R005,Voghera,Lombardia,Pavia,2018-03-12,,,,Monday,3,2018,Winter,False,False,39354,10.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3233,R005,Voghera,Lombardia,Pavia,2018-03-13,,,,Tuesday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,R005,Voghera,Lombardia,Pavia,2018-03-14,,,,Wednesday,3,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3235,R005,Voghera,Lombardia,Pavia,2018-03-15,,,,Thursday,3,2018,Winter,False,False,39354,9.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3236,R005,Voghera,Lombardia,Pavia,2018-03-16,,,,Friday,3,2018,Winter,False,False,39354,0.8,True,,,,,,,,,,,,,,,,,,,,,,,,,
3237,R005,Voghera,Lombardia,Pavia,2018-03-17,,,,Saturday,3,2018,Winter,True,False,39354,10.8,True,,,,,,,,,,,,,,,,,,,,,,,,,
3238,R005,Voghera,Lombardia,Pavia,2018-03-18,,,,Sunday,3,2018,Winter,True,True,39354,14.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3239,R005,Voghera,Lombardia,Pavia,2018-03-19,,,,Monday,3,2018,Winter,False,False,39354,3.6,True,,,,,,,,,,,,,,1544.2,1419.38,652.8,1202.52,808.08,385.97,1.5442,1.41938,0.6527999999999999,1.20252,0.80808,0.38597000000000004
3240,R005,Voghera,Lombardia,Pavia,2018-03-20,,,,Tuesday,3,2018,Spring,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
