,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
6324,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-01,28101.0,782775.9,27.855802284616207,Monday,1,2018,Winter,False,True,103082,10.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
6325,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-02,,,,Tuesday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-03,,,,Wednesday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6327,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-04,,,,Thursday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6328,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-05,,,,Friday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6329,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-06,,,,Saturday,1,2018,Winter,True,True,103082,2.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
6330,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-07,,,,Sunday,1,2018,Winter,True,True,103082,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
6331,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-08,,,,Monday,1,2018,Winter,False,False,103082,7.4,True,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213
6332,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-09,,,,Tuesday,1,2018,Winter,False,False,103082,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6333,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-10,,,,Wednesday,1,2018,Winter,False,False,103082,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6334,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-11,,,,Thursday,1,2018,Winter,False,False,103082,1.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
6335,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-12,,,,Friday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6336,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-13,,,,Saturday,1,2018,Winter,True,False,103082,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6337,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-14,,,,Sunday,1,2018,Winter,True,True,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6338,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-15,,,,Monday,1,2018,Winter,False,False,103082,0.4,True,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003
6339,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-16,,,,Tuesday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-17,,,,Wednesday,1,2018,Winter,False,False,103082,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6341,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-18,,,,Thursday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-19,,,,Friday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-20,,,,Saturday,1,2018,Winter,True,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-21,,,,Sunday,1,2018,Winter,True,True,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6345,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-22,,,,Monday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,1571.37,1446.52,677.48,1235.87,826.01,413.74,1.57137,1.44652,0.67748,1.2358699999999998,0.82601,0.41374
6346,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-23,,,,Tuesday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6347,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-24,,,,Wednesday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6348,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-25,,,,Thursday,1,2018,Winter,False,False,103082,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-26,,,,Friday,1,2018,Winter,False,False,103082,2.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6350,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-27,,,,Saturday,1,2018,Winter,True,False,103082,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
6351,R001,Piacenza,Emilia Romagna,Piacenza,2018-01-28,,,,Sunday,1,2018,Winter,True,True,103082,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
