"","h=1","h=2","h=3","h=4","h=5","h=6","h=7","h=8","h=9","h=10","h=11","h=12","h=13","h=14","h=15","h=16","h=17","h=18","h=19","h=20","h=21","h=22","h=23","h=24","h=25","h=26","h=27","h=28","h=29","h=30","h=31","h=32","h=33","h=34","h=35","h=36","h=37","h=38","h=39","h=40","h=41","h=42","h=43","h=44","h=45","h=46","h=47","h=48","h=49","h=50","h=51","h=52","h=53","h=54","h=55","h=56","h=57","h=58","h=59","h=60","h=61","h=62","h=63","h=64","h=65","h=66","h=67","h=68","h=69","h=70","h=71","h=72","h=73","h=74"
"466",804.945600000003,6269.751,3479.517,-51.4079999999994,1443.0636,3583.085625,3622.2273,4652.535375,11022.49575,10233.315,11282.652,1145.5155,-5623.3008,11621.1492,7898.4045,6078.74355,145.62225,10438.0452,-3503.223,13917.41325,10270.0404,5031.9927,8710.443,4301.1675,6490.0521,-3193.83,-3469.2381,-3670.7499,-1487.97,2230.011,1558.706625,-3950.9559,-1897.7355,-2535.2658,-2107.6362,296.93115,1768.716,4371.455925,-2593.431,-3040.137,-1202.0229,-1806.2487,-884.715750000003,4091.4558,3131.078625,-4526.6985,-3125.300625,-2960.3502,-3960.52875,451.730250000001,5377.2435,4509.2835,-3092.5314,-1828.737,-744.835499999999,-2493.1395,-135.858375,1021.0482,4146.7248,-4257.657,-1725.6564,-1205.9325,-3619.0305,5150.304,1654.55055,4204.6938,-1800.9216,-2882.007675,-2175.35625,-2168.7102,1065.501,-4853.601,-11272.7538,NA
"467",6487.83675,2761.74225,-212.832899999999,1406.9322,3543.06375,3634.5789,4291.569,10954.3185,9273.60225,10989.4158,1088.451,-5673.3777,11429.1486,7581.912525,6089.36625,-416.292750000001,10279.34775,-3489.61905,13732.6887,9922.9698,4357.9809,8714.90025,4236.937875,6368.331375,-3197.5533,-3608.2746,-3712.0221,-1502.226,2239.4169,1722.2625,-4060.935,-1928.6316,-2665.47375,-2062.3842,47.894400000001,1774.0377,3896.8155,-2711.61,-3056.9265,-1342.872,-1709.67915,-1319.22,4046.0877,3282.555375,-4609.089,-3129.485625,-3034.242,-3836.9493,407.511000000002,5422.923,4513.8816,-3272.478975,-1828.737,-798.7842,-2643.50115,-237.653324999999,1042.065,4132.5579,-4521.96405,-1738.5192,-1263.87,-3706.227,5220.5607,1706.1705,4182.381,-2107.4121,-2882.8476,-2247.0075,-2159.7921,1312.77375,-4816.125,-11241.9171,NA,NA
"468",2480.818725,440.694,1557.55845,3595.34475,3372.219,4291.569,9832.00275,8208.875475,11431.810125,1665.4635,-5619.861,11701.7703,7343.46675,3236.463,-2008.2735,10900.5237,-3395.636775,13867.747425,10618.434,4116.436875,5620.0239,1020.19365,6904.90845,-3085.21305,-3404.133,-3656.259,-2453.486625,-1847.876625,-2511.471825,-3560.8509,-1832.6385,-2477.547,-1893.7881,-1393.314075,-2606.322375,-595.744199999994,-2215.6515,-2934.1332,-1220.599125,-1663.794,-3633.9084,-744.651000000005,-3103.13835,-4137.41925,-3006.203625,-2871.939375,-3704.94,-2433.6234,460.147500000006,-1970.08335,-2653.003125,-1699.8624,-576.14625,-2096.7849,-2932.86825,-3894.08849999999,-2374.8255,-3792.22425,-1587.340125,-1027.06875,-3142.65555,2241.3015,-3289.0779,-2269.650375,-1326.105,-2731.303125,-2027.763,-1611.83925,-1850.499,-9805.5495,-17698.289625,NA,NA,NA
"469",5.34600000000137,1806.6285,3682.992375,3537.26055,4040.1684,9835.5465,7541.694,11000.286,1413.045,-5659.0704,11797.596,6942.283875,1060.232625,-3408.7365,10425.5613,-3368.9025,13877.4186,10413.918,3824.388,5543.22825,442.260000000002,6496.6968,-3116.7684,-3404.133,-3756.4857,-3196.76355,-3332.18475,-3556.143,-3894.2127,-1715.1345,-2571.55425,-2164.968,-1870.7679,-3232.610775,-1375.1046,-2578.257,-2885.92425,-1167.0345,-1647.42075,-4136.739525,-1753.542,-4048.7535,-4442.3667,-2896.707825,-2828.3553,-3915.10395,-3023.784,-311.215499999991,-2965.63275,-2966.256,-1560.4515,-528.659100000001,-2220.17895,-3515.1435,-4578.664725,-3254.7375,-4130.541,-1496.39625,-971.874900000001,-3185.2575,1932.97995,-4043.77649999999,-3094.767,-1652.1687,-2605.2381,-1926.1827,-1652.457375,-2151.82305,-10497.0114,-18508.446,NA,NA,NA,NA
"470",1621.9035,3276.83025,3184.866,4291.569,9779.32575,7749.55485,10992.81375,1308.0582,-5705.5725,11755.557,7084.9782,1409.42429999999,-3324.159,10303.419375,-3354.4215,13813.6536,10383.903,4006.256625,5704.1442,591.4755,6453.037125,-3193.83,-3437.5905,-3847.7295,-3007.5732,-2825.35560000001,-3557.9493,-4008.096675,-1819.7973,-2707.0407,-2022.75225,-1660.5,-2845.598175,-1177.5915,-2642.760675,-3012.687,-1325.3679,-1761.507,-4046.7312,-1508.0715,-4024.2555,-4557.681,-3038.6745,-3111.811875,-3929.0805,-2766.24045,-227.893499999998,-2537.429625,-3078.54,-1708.6734,-758.5407,-2278.6245,-3288.294,-4643.72325,-3084.462,-4210.0776,-1600.182,-1159.218,-3293.1225,2026.2447,-3966.56325,-2991.84570000001,-1766.799,-2735.5374,-2144.2968,-1734.0885,-2066.1993,-10510.435125,-18448.6923,NA,NA,NA,NA,NA
"471",1715.086575,2743.335,3740.673825,9896.880375,8332.7184,11032.74945,1090.648125,-6007.30425,10900.1322,6938.4411,1458.3564,-2218.9734,10431.9603,-3491.2188,13676.72985,10119.556125,3924.2754,5952.70125,1059.25387499999,6502.4694,-3256.2729,-3655.4157,-3791.734875,-2805.5241,-2772.8487,-2736.855,-3968.5545,-2047.741425,-2795.1705,-2447.82,-1749.46275,-2548.8,-688.655699999996,-2631.249,-3283.9776,-1553.9715,-2242.278,-4179.2211,-1648.00777500001,-3294.864,-4528.728,-3295.73475,-3170.127375,-4304.00475,-2858.812875,67.4588250000015,-2032.539075,-3044.1555,-1927.1115,-828.759599999999,-2644.2,-3498.0309,-4724.67779999999,-2538.27,-4170.2985,-1775.959425,-1258.7076,-3668.04675,1998.050625,-3662.739675,-2310.9849,-1726.72155,-2911.7178,-2305.7271,-2088.432,-2159.6355,-10576.9125,-17854.2279,NA,NA,NA,NA,NA,NA
"472",2136.21975,3673.296,9704.2221,8148.9852,10918.341,334.85175,-8838.018,9090.9783,6455.241,1220.9778,-1648.3203,10228.60575,-4678.73685,10445.2713,7720.38,3178.547325,6185.943,2183.189625,6386.8203,-4322.1357,-6814.584,-6459.5205,-3457.269,-2225.65995,-1040.661,-4024.512,-3106.2555,-5869.2636,-4542.1209,-2278.773,-1629.0072,2005.82055,-2679.6204,-4218.719625,-4567.428,-4356.25425,-4576.608,-1083.837375,481.376250000001,-4566.8178,-4363.1622,-6177.57165,-5994.47115,-3014.24895,2.1249000000098,2323.1556,-3085.87275,-3069.999,-3774.6855,-4384.06155,-3706.074,-4512.4434,1926.338625,-4220.1945,-2949.6015,-4208.925375,-5635.25235,1577.481075,-3855.5334,2184.462,-1778.3658,-4096.863,-5164.1244,-4028.5269,-2468.772,-10388.6694,-13120.5537,NA,NA,NA,NA,NA,NA,NA
"473",3466.600875,9828.4941,8375.5683,10918.341,721.672875,-8576.41635,8506.5309,6416.766,1227.096,-1069.925625,10478.03625,-4408.705125,11404.21725,7790.63175,3206.115,6007.165875,2644.5825,6508.4445,-3950.332875,-5181.6078,-5805.0702,-3250.999125,-2489.41755,-465.110100000002,-3932.5635,-2523.474,-3962.8071,-4121.4915,-1896.48,-2378.78325,1456.36785,-2624.211,-3518.6454,-2347.198425,-3668.949,-4155.060375,-1246.8546,-920.862000000005,-4506.948,-3418.837875,-3689.5635,-6116.607,-3229.875,72.8419500000018,66.1337999999996,-3013.181775,-2015.067375,-1379.62575,-4466.151,-3706.074,-4282.6698,-327.140999999996,-4134.69225,-1960.6023,-1883.08125,-5283.005625,1827.6705,-3684.18375,-297.551700000004,-1689.8355,-3099.3624,-2807.7705,-3723.971625,-2257.1325,-10217.31975,-15684.8022,NA,NA,NA,NA,NA,NA,NA,NA
"474",9936.8451,8586.68444999999,10866.933,863.748,-8019.972,8754.1641,4973.862375,2822.094,464.386500000001,10641.466125,-3974.376375,12727.6407,8255.0295,3027.267,6303.015,4373.9361,6591.51,-3678.886125,-3952.43415,-5953.743,-3428.3439,-2309.553675,1151.88525,-3886.56675,-2185.35525,-3169.060875,-4363.9884,-2386.0818,-1570.7115,3179.3823,-2586.1545,-3450.6675,-2118.8547,-4063.49325,-4644.216,-1186.30035,560.871000000003,-4414.894875,-3549.681,-3733.18875,-5732.8803,-3274.2468,265.423500000004,1785.0645,-2992.12245,-2166.858,-1449.921375,-4480.95375,-3999.1185,-4392.8046,1214.433,-4131.146475,-2091.2355,-1879.869375,-5529.2013,1239.249375,-3602.718,1466.5725,-1680.38145,-3235.1985,-2943.187875,-3995.919,-3118.0086,-10269.0306,-13988.3967,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475",8176.807125,10968.7284,839.791125000002,-8058.1536,8405.937,4059.369,-920.380500000007,-1254.0123,10461.51,-3606.74325,12628.134,7843.878,1823.0481,3813.9012,1586.090025,6510.4371,-3189.4452,-4452.8535,-5630.7393,-4243.0149,-2105.20125,-2238.9615,-3967.44615,-2076.858,-3241.5525,-3773.6496,-2457.621,-3299.051025,-812.045250000003,-2640.30975,-3855.24225,-3175.24275,-4276.9836,-6165.81225,-1587.33675,-3353.5809,-4557.681,-4023.2133,-5195.0187,-6341.919975,-5239.242,-1558.1592,-1725.3495,-3032.6292,-2538.8955,-2268.945,-4616.476875,-5492.7792,-5694.255,-2069.7129,-4143.808125,-2011.732875,-2242.9656,-5445.315,405.5841,-3955.4514,-2267.26560000001,-1703.332125,-3137.1984,-3085.8732,-3661.002,-3432.169125,-10491.147,-17904.50325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
