"","h=1","h=2","h=3","h=4","h=5","h=6","h=7","h=8","h=9","h=10","h=11","h=12","h=13","h=14","h=15","h=16","h=17","h=18","h=19","h=20","h=21","h=22","h=23","h=24","h=25","h=26","h=27","h=28","h=29","h=30","h=31","h=32","h=33","h=34","h=35","h=36","h=37","h=38","h=39","h=40","h=41","h=42","h=43","h=44","h=45","h=46","h=47","h=48","h=49","h=50","h=51","h=52","h=53","h=54","h=55","h=56","h=57","h=58","h=59","h=60","h=61","h=62","h=63","h=64","h=65","h=66","h=67","h=68","h=69","h=70","h=71","h=72","h=73","h=74"
"372",22.2784221298766,1.26122196779704,-16.896520584809,4.69106965141978,10.7181454938778,0.406522009420425,-17.1300475556755,-10.1632235844082,-1.32180158556281,-5.25297256374225,4.82310205177253,2.43949697673366,-5.01262487407037,-20.3072637907126,-17.9906759361126,-18.899007469559,-46.121235814916,2.18312162945761,6.28742892399472,-1.29906483102301,-42.332002136557,-28.1061354488907,-27.6890720762524,-36.9474925022587,-6.06491374771594,4.32058521284381,-1.4330317328098,-23.4622621439546,-13.7819390665842,-18.0733776055102,-38.5094052543194,6.27462195590865,13.9651918407929,6.01218467292576,-28.0648151500887,-12.1019242563631,-5.34542685308131,-40.6025392480218,13.7926609825232,17.6925684722721,10.4039817151671,-59.6798130866995,-4.0038239023617,-17.9727042189915,-32.7553763732508,12.0320593129413,21.9851416264398,12.2432663112263,-21.589409920084,-11.6999061072938,-7.81870180312996,42.2955849383687,37.8595138156517,20.9972202996773,14.2333230549555,-19.0098954547996,-20.1102432533845,-26.3997864449762,-31.256250378156,9.43407851084148,16.7327460722396,17.3261632911874,-33.8760859878304,-16.6891056248728,-15.7827861067992,-37.4777438412832,8.35458860781146,15.8804790947499,22.2856907028177,-28.2250286334318,-27.9535037623471,-16.4922777808204,-18.0896386685569,10.4385857925196
"373",-10.2738503414547,-22.7704380649647,0.0106758346150278,10.9452841394377,-1.60043102243495,-29.1468711901948,-19.8137375328881,-19.6018223567329,-16.5251036659459,-3.11890012691643,1.87289065417328,-5.69133479833914,-30.4968470992121,-30.2579430100731,-42.9921666268745,-59.4543998563775,-12.1749361518708,4.43926487842914,-5.46629823689895,-52.4759983283932,-38.8272024581712,-52.1850530711676,-50.1071105891859,-26.3362755117842,0.795525671100023,-5.47433403091946,-34.8507268644368,-21.631037212985,-38.6499852279091,-52.4194439122251,-11.8955775922584,12.1228711304104,2.73252841968541,-32.9953772434853,-17.732349270844,-21.6312517899451,-54.7687004607451,-3.20817892081865,14.043846624804,7.05805529545117,-63.4225779085564,-10.2541920933059,-35.8109269970299,-46.722967328402,-5.36232163393275,20.2724583504924,9.17036693096925,-26.5371724944033,-19.4976313430925,-27.3487063798075,36.2243305160918,24.9532374331032,17.2807924280694,10.6450527064686,-25.3287862693576,-29.0766868552934,-49.1454164322964,-46.1164461116922,-9.86670983883434,14.4798670865987,13.4451456616001,-38.5892920529985,-23.8081893997169,-36.1097029279294,-53.5512586150126,-12.2627938735548,11.9702039002525,17.2835963432405,-32.8446560974139,-37.070467413417,-37.5604140423901,-32.040241668717,-9.95844803877154,10.950415657354
"374",-18.3743012723841,1.44050096289307,11.0219929593469,-1.86422263195483,-19.2649189257939,-14.2549899192455,-8.65920772268743,-7.44155124701619,2.87985676944206,1.4917759350306,-5.23125882489252,-19.7092238738363,-21.1442557524403,-25.2236509506539,-45.6006455925845,-0.499605468404457,3.86915356855921,-4.09752119768915,-39.6098500258767,-29.0481759139141,-29.978563695068,-37.7160026550107,-7.86134596921551,1.21246060440849,-3.42503990761644,-20.6489776622149,-13.8541090467359,-23.5550084002487,-38.5657128044451,4.83014527894735,12.066234468251,3.80497928896666,-24.3788004972782,-12.1950279396232,-11.2586242807675,-41.095728780662,13.5035449293721,15.3400952243319,8.85787234336889,-54.7645885119115,-4.4992173878586,-22.844388862835,-33.4427124131242,12.0084078064534,20.293248909272,10.5198422163727,-20.1276599337065,-12.343263198327,-14.3472834245969,42.0593191084803,37.6963456140142,19.5899024445783,13.028030881677,-16.6948528726636,-21.6371664099926,-35.2607786495823,-32.3555444149603,8.71135767314964,15.2178404105181,14.993416135085,-31.384544797706,-18.1725369515967,-23.8994957467046,-39.4068783849761,6.00670179716538,13.6547511517423,18.9414831562834,-25.722888661161,-29.0382117208755,-22.9719042663892,-19.7758667150941,8.5564303846329,11.8386142270686,13.5224346330024
"375",11.1166780835197,10.9452841394377,2.8771952313806,-17.9534017198217,-10.2576289284017,-1.6975487563472,-1.22451131380489,10.0497892978419,3.00606338526,-2.08944488848477,-20.0796907097702,-14.8567507783058,-16.5617820829117,-34.8276057562386,5.48265535208084,5.7934989591055,1.85788611860193,-41.1706851650435,-22.5670342281209,-25.4682153007366,-26.7299414610106,-3.07953947164669,5.30201742492719,2.4447400927564,-21.2224914312729,-8.65261553812949,-16.9261704126043,-32.2927350186527,8.2718824960557,14.213185592952,9.57547384333835,-25.3868752338535,-7.77794104285211,-3.55541669921112,-34.3324631896013,15.7297242674141,18.2017957898041,14.0453852585236,-54.486393811216,-0.68642019337454,-15.1425147204419,-27.3272573607112,14.2605991686423,22.088611993609,15.2973637367591,-20.0087490876774,-8.59032905125688,-7.39558694877361,44.6826995718962,38.9193525225261,21.4794001809689,17.32553838891,-16.6433722815453,-17.2962280033364,-26.3997864449762,-26.5996646296665,10.698533039209,16.5608479324098,19.0575456517743,-31.2211148006515,-13.9552428514027,-15.7827861067992,-33.1862318758303,8.62220665326582,15.6509598210452,23.2672317966211,-25.7700886129363,-24.8762633071072,-16.1789802289282,-14.4036195631373,10.6376114552647,13.3516365866149,17.8523098987442,-29.7140610301766
"376",10.2677944609136,-2.73598044592316,-17.4644379403088,-10.6004360731139,-2.46062266978687,-1.78712773453682,4.86251912216556,1.47634029108861,-3.50658761657695,-19.305757868345,-14.5260235013225,-15.5209932125925,-34.7487551141893,4.90196381260732,5.80397448587801,0.480102032770339,-39.3452504504205,-22.0306356651033,-24.4158183980048,-27.7845978302613,-3.12668401003436,2.3733079025524,2.21563554412208,-20.1788992632864,-6.31116751085514,-13.6086784931585,-28.547679962131,8.3149995689661,14.625216377354,9.47285326546688,-23.9464017734648,-5.68716140243279,-1.6609388424588,-32.1260041367114,16.8318140778881,18.6877103945459,14.0402753964898,-52.7116864317792,0.873137581233163,-13.5095878276275,-25.1928825663959,14.9481397246368,23.394842433146,16.6205459951836,-19.438717245603,-6.45491016175153,-5.02397186760846,45.7084461597518,39.4361760705541,21.8623193182306,18.0970788628623,-15.4076703751328,-15.2240200919423,-25.6698203373025,-25.9686015287586,11.10245733121,17.9887349718493,20.2757340982386,-30.6464758735106,-12.4425216021565,-15.1751496058179,-32.395459826886,9.17283685390921,15.934336197125,23.1744937088215,-25.6451262885044,-23.2320318308455,-15.5566077003122,-13.9285323741569,11.0371873467057,15.5010697960771,19.008988647073,-29.8048447866532,-25.0730532610889
"377",-2.7720274921376,-15.9848026579062,-8.51286625475555,-0.135086926765152,-0.12041785572098,4.71623618447971,0.920595020679905,-2.27607602319657,-18.7441799477894,-13.9931259411843,-16.175858658208,-35.2066778163081,4.39646494074305,1.51374912888893,0.532057233760702,-39.3442541285089,-21.7548148887337,-24.5751406530944,-26.4928885228506,-3.80470129146148,2.23815083430177,3.74387976925042,-20.6085569081669,-6.1236022082669,-13.4149105516825,-28.668443653003,8.68193256440536,12.2281867611658,10.4653903503745,-23.5697456880424,-4.26269137506106,-0.817269389986728,-31.8775992730619,15.8427890667335,19.1224226263455,20.3827511462605,-53.2190857424227,1.91268426058014,-12.7234120160492,-25.0855576217455,14.8504969514742,22.5801142593511,18.8124804234727,-18.3727675436476,-8.20042536241163,-7.55044470725463,44.4489779364814,38.6322463685265,21.3155750107113,17.4807342751209,-14.9944652540951,-17.4615736999975,-26.3997864449762,-27.1768278979714,10.0166739662007,16.0143551539166,19.0495857617915,-31.312953307873,-12.2156365246601,-15.3712291074011,-31.5682672328637,8.61200891079489,15.4869962066567,23.7151444696693,-25.3527879920429,-22.8671964999142,-15.8967449842087,-13.1839892522251,10.4258553876039,13.7960828119978,18.283043756986,-29.16878196801,-25.3285770749011,-6.58591454713339
"378",-15.6147338836515,-8.23865670961567,-0.465931144928352,-1.19939641270022,5.79157295611089,1.12172035991223,-2.41773825491494,-18.8384034044176,-14.2393670560146,-16.1781893425197,-36.2082065612805,4.4966984304382,1.72535476969377,1.24426361356863,-39.1687354184137,-21.9406371619599,-27.4524993716528,-29.9712077856634,-4.01582195174825,1.8473184694185,2.18879908244369,-20.53414490013,-6.39063330404886,-15.3328424001634,-30.9146990205912,8.2718824960557,12.5003052823618,10.3325832367667,-23.2767981074459,-6.62408642543187,-4.83539665182639,-34.5265403375135,15.4495361223497,17.560016347258,13.7993856060979,-54.6609675116524,-0.788481732445714,-17.4918075023593,-27.9028220489709,13.9522900885968,22.1922098988789,15.4517901752784,-19.1700339142267,-8.77303572190687,-10.3582262741794,44.3835566911293,38.685013752082,20.8707293286473,17.1781614115343,-16.6433722815453,-18.0765153555569,-30.0237865975155,-27.3740992684663,10.2157313664326,16.3826333982123,19.3426946228531,-31.312953307873,-14.8295105101546,-19.0272510736032,-34.0015668820183,8.27163146090785,14.83399896633,22.9540980407131,-25.7700886129363,-25.7207100664232,-19.509940303412,-15.2292689404147,10.1890595807075,13.042665670437,17.7400819416135,-29.7556536612963,-28.310892448856,-9.90339964744397,-20.4240686509596
"379",-3.05797356216322,2.64720936680244,0.480043765264702,5.83766595346744,0.167284151556232,-1.7539975085737,-1.57604510614966,-1.48352098499567,-5.39348772695749,-16.2467992025172,4.294175721471,0.874617709854532,5.68043941508571,-20.5322296300601,-7.1179024049496,-11.3887922200955,-5.13114109960951,-9.17310848895909,-3.84320435013415,3.705644168288,-2.5435882283418,3.78147629945372,-6.25933177234223,-10.6805707394592,4.29479092119469,5.95970191416111,9.25961466745012,-5.0378450471328,5.82937238066033,5.82564633289072,-12.9823461150238,12.1702665822146,10.2415338451952,13.8818091505438,-29.068812550797,12.221454469805,-5.09861755220908,-6.99562122037327,10.2146496283304,15.4544336556659,16.4924019730593,-0.297100598391549,5.54839742221842,2.29101189126139,53.0741650373447,36.4856867671768,15.5830629286401,19.2400981959092,2.17890087773244,-2.11416587822829,-15.4476849777388,-6.49861054687838,7.19926031388443,11.3482612897634,22.2535882603669,-9.8749577269298,0.930493649625744,-5.93331979730895,-15.5606144902524,5.83290343856518,10.4044803903258,26.842760008506,-5.40989008780919,-8.77014142503495,-6.29158223341913,-0.0337902048924968,7.92602738991628,9.04849386028291,22.7774220856072,-8.96957450091331,-11.9642955417582,2.0053689247041,-4.70809567054068,23.6829079195156
"380",3.51355910186339,2.35550865596963,6.21928074596643,-0.0536030694187807,-1.32738657496961,-2.44045845203896,-3.68811591488963,-8.01843514444558,-20.0020551245831,4.99261832788805,1.0001464798235,3.687446775796,-22.0649325130283,-9.16199314772312,-12.4322110086422,-7.34767542272608,-6.60463315680261,-0.125450149930419,9.73202538389312,-2.53311665287789,6.27087061681798,-2.61818775107041,-9.41389317795035,5.89619472332414,8.61335459726744,15.3520420878759,-4.9634283231343,6.64274123479505,8.46344606732797,-10.8062982231673,12.4500874532041,12.1186481501337,17.7126753110661,-28.6659438904148,13.4505600464944,-1.25187805047505,-5.28382867644985,10.6473668317818,16.6647566757878,19.1893428992699,-0.00745974844070191,7.60857411122017,5.67335887632441,54.2562322153968,36.396552055312,15.2270425666424,21.282251180836,2.88546989433667,0.0720222159300543,-11.0298071331191,-4.74099556585101,6.84313234390045,10.2037604445433,23.2923049762843,-9.27135912431178,2.57498227620494,-1.7182018046577,-10.1005075335233,4.65730659182622,8.23903376011129,26.2596666458388,-4.43348001687865,-7.37931076742078,-2.56507293207002,5.20939512522797,6.68532780066675,6.20716397594254,21.5335512689855,-7.74971754505592,-9.16801332819682,6.18326869806094,1.08221176902748,22.2035117635346,16.3664803505277
"381",1.74297067969255,6.82039106946005,1.02033280025922,-1.40223246460714,-2.57143197720853,-4.11408908967486,-10.0691057372731,-21.7515744144076,5.12689245293352,1.05581990971517,2.81909635157937,-22.8791489196826,-11.6106177028241,-16.6285972874737,-13.4204573455665,-6.06019077704482,0.64939956096931,7.74508640027578,-14.1152523342394,-5.15623813707308,-8.25444779572476,-14.8857732144668,7.29437972854444,10.4578814815177,12.6977075969562,-20.5407116389663,-3.9307131418447,2.14031867531047,-29.498444727753,14.8732148905922,15.3848268076385,16.3048002441667,-49.2271732230679,3.08890077666826,-11.9598488006531,-26.6837488978914,13.8638860513078,21.564097691967,16.1878782142642,-17.3666704272394,-4.31225193120227,-4.54189347546684,45.1093500600955,38.8041130936102,21.5625970635499,17.1444921054578,-14.119919494605,-12.4690667421726,-23.1778465263941,-25.7463142396976,10.6204603929962,18.2017668490611,20.7151996579306,-28.4052374131147,-9.48494204263103,-12.9312479122866,-32.2888967106832,8.51536925109823,16.3591552243804,23.1644423256571,-23.4483091205015,-20.459527194294,-13.491684466108,-13.90889125819,10.6239529080007,14.59990119901,17.947333815504,-27.0221907553866,-23.8723439915548,-4.91455552757492,-19.0839736198552,25.4343959501984,23.845419977012,22.6409112348034
