,LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
137,Pavia,2018-01-18,6.0,-1.0,12.0,0.0,57.0,22.0,7.0,15.0,0.0,1013.0,0.0,0.0,
138,Pavia,2018-01-19,6.0,0.0,13.0,2.0,69.0,21.0,6.0,17.0,0.0,1009.0,0.0,0.0,
139,Pavia,2018-01-20,4.0,-2.0,7.0,2.0,83.0,17.0,6.0,11.0,0.0,1011.0,0.0,0.0,nebbia 
140,Pavia,2018-01-21,7.0,1.0,15.0,1.0,60.0,21.0,10.0,24.0,0.0,1007.0,0.0,0.0,
141,Pavia,2018-01-22,6.0,2.0,9.0,0.0,59.0,19.0,7.0,13.0,0.0,1015.0,0.0,0.0,
142,Pavia,2018-01-23,4.0,-1.0,9.0,2.0,80.0,12.0,6.0,13.0,0.0,1022.0,0.0,0.0,nebbia 
143,Pavia,2018-01-24,6.0,3.0,10.0,2.0,77.0,13.0,7.0,13.0,0.0,1031.0,0.0,0.0,
144,Pavia,2018-01-25,6.0,6.0,7.0,5.0,90.0,6.0,4.0,9.0,0.0,1026.0,0.0,0.0,pioggia 
145,Pavia,2018-01-26,6.0,5.0,8.0,5.0,95.0,2.0,6.0,11.0,0.0,1023.0,0.0,0.0,pioggia 
146,Pavia,2018-01-27,7.0,3.0,10.0,6.0,96.0,9.0,8.0,15.0,0.0,1030.0,0.0,0.0,pioggia nebbia 
147,Pavia,2018-01-28,4.0,1.0,6.0,4.0,100.0,0.0,4.0,8.0,0.0,1034.0,0.0,0.0,nebbia 
148,Pavia,2018-01-29,4.0,2.0,5.0,4.0,100.0,0.0,3.0,8.0,0.0,1032.0,0.0,0.0,nebbia 
149,Pavia,2018-01-30,2.0,0.0,5.0,3.0,100.0,0.0,6.0,11.0,0.0,1028.0,0.0,0.0,nebbia 
150,Pavia,2018-01-31,6.0,5.0,7.0,6.0,100.0,2.0,4.0,8.0,0.0,1022.0,0.0,0.0,pioggia nebbia 
92,Pavia,2018-02-01,6.0,6.0,7.0,6.0,100.0,3.0,8.0,18.0,0.0,1005.0,0.0,0.0,pioggia nebbia 
93,Pavia,2018-02-02,6.0,5.0,7.0,6.0,94.0,8.0,7.0,15.0,0.0,1004.0,0.0,0.0,
94,Pavia,2018-02-03,5.0,2.0,8.0,2.0,82.0,20.0,6.0,13.0,0.0,1003.0,0.0,0.0,
95,Pavia,2018-02-04,4.0,-1.0,7.0,1.0,79.0,20.0,5.0,11.0,0.0,1014.0,0.0,0.0,pioggia nebbia 
96,Pavia,2018-02-05,5.0,4.0,6.0,2.0,80.0,15.0,8.0,15.0,0.0,1021.0,0.0,0.0,pioggia 
97,Pavia,2018-02-06,4.0,2.0,6.0,3.0,91.0,13.0,7.0,13.0,0.0,1015.0,0.0,0.0,pioggia 
98,Pavia,2018-02-07,5.0,2.0,9.0,3.0,86.0,17.0,6.0,13.0,0.0,1007.0,0.0,0.0,pioggia 
99,Pavia,2018-02-08,6.0,0.0,10.0,4.0,85.0,12.0,5.0,15.0,0.0,1013.0,0.0,0.0,nebbia 
100,Pavia,2018-02-09,7.0,5.0,11.0,4.0,80.0,19.0,6.0,15.0,0.0,1015.0,0.0,0.0,pioggia 
101,Pavia,2018-02-10,6.0,3.0,10.0,3.0,80.0,15.0,8.0,15.0,0.0,1012.0,0.0,0.0,pioggia 
102,Pavia,2018-02-11,5.0,1.0,8.0,2.0,82.0,11.0,5.0,13.0,0.0,1011.0,0.0,0.0,nebbia 
103,Pavia,2018-02-12,5.0,2.0,9.0,1.0,76.0,9.0,8.0,15.0,0.0,1010.0,0.0,0.0,
104,Pavia,2018-02-13,4.0,0.0,8.0,1.0,67.0,20.0,5.0,13.0,0.0,1013.0,0.0,0.0,
105,Pavia,2018-02-14,3.0,-2.0,8.0,0.0,58.0,21.0,5.0,13.0,0.0,1015.0,0.0,0.0,
106,Pavia,2018-02-15,3.0,-1.0,8.0,0.0,63.0,19.0,4.0,13.0,0.0,1022.0,0.0,0.0,
107,Pavia,2018-02-16,4.0,0.0,7.0,1.0,70.0,10.0,5.0,9.0,0.0,1024.0,0.0,0.0,
108,Pavia,2018-02-17,6.0,2.0,8.0,2.0,70.0,6.0,5.0,9.0,0.0,1022.0,0.0,0.0,
109,Pavia,2018-02-18,5.0,2.0,8.0,3.0,85.0,7.0,7.0,17.0,0.0,1019.0,0.0,0.0,pioggia nebbia 
110,Pavia,2018-02-19,5.0,2.0,6.0,1.0,68.0,17.0,6.0,11.0,0.0,1018.0,0.0,0.0,pioggia 
111,Pavia,2018-02-20,4.0,2.0,8.0,0.0,69.0,12.0,4.0,15.0,0.0,1010.0,0.0,0.0,
112,Pavia,2018-02-21,5.0,0.0,9.0,0.0,68.0,9.0,6.0,13.0,0.0,1009.0,0.0,0.0,
